ano,rede,localizacao,sigla_uf,disciplina,serie,media,nivel_0,nivel_1,nivel_2,nivel_3,nivel_4,nivel_5,nivel_6,nivel_7,nivel_8,nivel_9,nivel_10
2005,"total - federal, estadual, municipal e privada",total,AC,LP,12,,0,0,0,0,0,0,0,0,0,,
2005,privada,total,AC,LP,12,,0,0,0,0,0,0,0,0,0,,
2005,"total - federal, estadual e municipal",total,AC,LP,12,,0,0,0,0,0,0,0,0,0,,
2005,federal,total,AC,LP,12,,0,0,0,0,0,0,0,0,0,,
2001,estadual,total,AC,LP,5,145.46177318294204,33.450810766484651,24.68610123558204,18.111324805584264,15.077922531972119,6.3519933598036866,1.80559085295766,0,0.51625644761576539,0,0,
2001,federal,total,AC,LP,5,148.10790505338096,31.317606224029287,23.2684923606023,19.257633292701364,14.819877947806889,7.0582719079167848,3.669873415089667,0.46284022301637812,0,0.14540462883710312,0,
2001,"total - federal, estadual, municipal e privada",total,AC,LP,5,148.65866461951956,30.840471434950981,23.226088060680247,19.681090915061482,15.07636996390325,7.1126268137058375,3.2100670233410522,0.60665693675703281,0.15078114515305391,0.095847706446667527,0,
2001,"total - federal, estadual e municipal",total,AC,LP,5,148.65866461951956,30.840471434950981,23.226088060680247,19.681090915061482,15.07636996390325,7.1126268137058375,3.2100670233410522,0.60665693675703281,0.15078114515305391,0.095847706446667527,0,
2001,total - estadual e municipal,total,AC,LP,5,149.72388494942845,29.917648285467436,23.1440741926887,20.500097421575667,15.572449427253234,7.2177542672018884,2.3207586092429353,0.88481186438021009,0.44240593219010504,0,0,
2001,federal,total,AC,MT,5,151.84926904334287,23.799846304901067,28.036380420380127,25.512452893802749,13.532666625718825,5.539813911354849,2.84925230550718,0.72958753833516643,0,0,0,0
2001,estadual,total,AC,MT,5,151.99930298197671,17.115423361477216,34.806147180367851,28.479457718997491,12.302196542627339,5.7796702306319787,0.720048546425728,0.43703214625960973,0.360024273212864,0,0,0
1999,federal,total,AC,LP,5,152.97916181281417,22.953274255811998,27.691181820081255,24.747002595289338,17.482314997780389,4.9004196020916915,1.2974354747333989,0.92837125421194644,0,0,0,
2001,"total - federal, estadual, municipal e privada",total,AC,MT,5,153.58431768295446,21.100633331891146,29.018710176531538,26.482409159700545,13.437661102668713,6.2403692482282134,2.5712276386124926,1.0442849582857543,0.10470438408231543,0,0,0
