NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
,,,,
480.1,565.8,570.9,523.3,600.0
403.6,525.6,611.0,571.1,720.0
558.9,554.1,511.2,558.9,760.0
,,,,
537.1,519.3,603.6,553.2,780.0
459.2,456.1,526.1,430.4,500.0
,,,,
,,,,
582.7,678.3,627.8,678.9,580.0
388.8,485.7,441.1,385.8,400.0
492.5,383.0,362.3,478.1,520.0
433.2,363.8,410.3,410.7,0.0
385.5,455.7,460.3,524.7,740.0
,406.8,511.3,,0.0
474.1,512.6,529.3,510.5,560.0
,,,,
401.6,471.9,510.6,573.6,440.0
,,,,
579.6,560.7,583.1,635.5,680.0
486.4,581.9,547.9,452.2,580.0
,,,,
385.7,442.1,470.2,423.7,0.0
623.1,571.6,604.9,695.5,900.0
416.7,368.4,343.5,417.0,340.0
,,,,
549.4,572.1,550.7,437.5,620.0
555.0,591.5,563.1,622.0,920.0
,,,,
491.4,480.6,572.6,458.6,640.0
448.3,381.4,377.1,502.9,380.0
540.8,560.2,602.2,655.3,940.0
,,,,
412.9,406.0,576.0,477.8,460.0
,,,,
553.1,561.7,563.6,520.3,740.0
588.0,638.1,640.2,687.7,860.0
,,,,
472.3,551.0,468.8,417.1,500.0
565.4,615.1,545.6,665.1,900.0
535.0,474.4,534.1,578.6,480.0
490.5,463.0,483.7,389.4,600.0
696.3,656.3,581.2,749.6,920.0
,,,,
,,,,
499.9,574.0,513.9,616.2,680.0
513.2,555.2,553.5,606.7,820.0
379.3,369.9,506.0,420.1,560.0
570.4,567.8,575.4,564.5,580.0
460.6,396.8,468.7,412.0,0.0
,,,,
524.1,507.0,550.4,432.7,720.0
,,,,
487.5,381.0,488.4,455.5,760.0
555.7,513.1,565.1,574.9,620.0
504.7,500.4,500.4,404.4,400.0
571.9,604.4,589.6,522.0,520.0
,,,,
492.2,588.0,560.5,411.7,620.0
,,,,
,,,,
,,,,
