id_aluno,id_professor,aulas_bimestre,nota_p1_b1,nota_p2_b1,ativs_entregues_b1,ativs_total_b1,faltas_b1,nota_p1_b2,nota_p2_b2,ativs_entregues_b2,ativs_total_b2,faltas_b2,nota_p1_b3,nota_p2_b3,ativs_entregues_b3,ativs_total_b3,faltas_b3,nota_p1_b4,nota_p2_b4,ativs_entregues_b4,ativs_total_b4,faltas_b4
20240001,P007,60,6.1,6.3,10,10,1,4.6,8.2,9,10,2,10,10,8,10,2,7.1,5.6,10,10,2
20240002,P007,60,5.6,6.5,8,10,3,8.8,8.4,8,10,10,8.0,6.9,6,10,12,8.8,4.9,5,10,4
20240003,P007,60,4.8,7.6,5,10,12,6.2,2.1,7,10,13,5.0,8.8,4,10,19,6.3,3.2,3,10,14
20240004,P007,60,5.8,5.5,2,10,9,8.5,5.2,5,10,13,7.1,6.4,4,10,10,7.2,7.1,6,10,12
20240005,P007,60,7.2,6.4,5,10,9,5.1,8.1,3,10,17,3.6,7.9,2,10,8,5.9,4.5,7,10,13
20240006,P007,60,6.0,3.9,5,10,12,9.5,0.8,7,10,10,4.7,5.8,7,10,10,2.4,9.7,8,10,6
20240007,P007,60,5.6,4.0,8,10,5,5.2,10,8,10,0,9.2,7.2,10,10,0,6.2,10,10,10,1
20240008,P007,60,7.2,7.0,2,10,14,8.2,7.3,5,10,10,6.4,5.8,4,10,20,4.2,5.8,4,10,9
20240009,P007,60,7.4,4.5,6,10,13,4.8,3.9,4,10,18,7.8,4.7,5,10,8,6.9,7.8,4,10,11
20240010,P007,60,8.8,4.4,9,10,3,7.9,6.5,9,10,2,6.1,6.8,9,10,1,6.8,10,9,10,1
20240011,P007,60,6.8,9.4,8,10,7,0.3,4.8,5,10,7,6.7,7.0,9,10,6,5.2,6.1,6,10,12
20240012,P007,60,8.4,2.3,8,10,5,8.2,4.4,10,10,0,9.3,10,10,10,4,10,6.2,8,10,5
20240013,P007,60,8.0,9.6,7,10,7,9.3,8.8,7,10,12,8.5,9.2,5,10,6,6.7,8.7,8,10,5
20240014,P007,60,3.9,3.7,3,10,17,5.3,2.4,7,10,12,0.6,8.5,2,10,13,3.5,4.7,3,10,8
20240015,P007,60,6.8,6.3,4,10,18,6.1,8.9,5,10,20,5.8,3.4,3,10,20,8.4,5.6,6,10,11
20240016,P007,60,7.4,7.7,5,10,3,3.0,5.3,6,10,7,9.6,9.7,9,10,9,7.8,8.7,8,10,6
20240017,P007,60,10,4.2,8,10,4,5.4,3.0,8,10,4,8.5,9.4,8,10,3,10,5.0,10,10,1
20240018,P007,60,9.0,8.7,9,10,3,4.1,1.8,6,10,10,4.1,7.2,5,10,5,6.7,9.3,9,10,6
20240019,P007,60,7.4,6.0,6,10,20,9.0,4.9,6,10,15,0,2.2,2,10,14,8.6,2.4,2,10,12
20240020,P007,60,8.0,5.3,5,10,19,5.3,5.9,4,10,9,4.2,7.0,4,10,17,6.5,2.9,4,10,9
20240021,P007,60,2.5,7.9,2,10,13,7.4,8.2,3,10,18,8.8,5.2,5,10,19,5.8,5.4,6,10,14
20240022,P007,60,8.9,9.9,7,10,11,6.2,9.1,8,10,9,5.3,6.9,8,10,11,8.3,6.2,6,10,8
20240023,P007,60,4.9,5.4,8,10,4,7.7,8.0,7,10,5,10.0,5.0,5,10,10,6.0,7.8,9,10,4
20240024,P007,60,5.4,2.8,2,10,20,7.0,8.0,3,10,15,8.4,2.2,3,10,9,7.8,6.3,6,10,13
20240025,P007,60,7.3,5.1,10,10,4,10,6.9,8,10,4,8.0,8.2,10,10,1,7.2,5.4,10,10,2
20240026,P007,60,7.4,9.3,2,10,15,3.7,4.5,5,10,11,0,5.0,4,10,12,2.8,3.1,6,10,11
20240027,P007,60,4.4,2.7,2,10,12,6.6,5.0,6,10,12,6.7,5.3,4,10,9,3.6,4.7,6,10,18
20240028,P007,60,8.4,9.5,8,10,1,7.2,3.5,10,10,1,9.0,6.9,9,10,3,6.2,8.3,9,10,3
20240029,P007,60,7.5,9.1,9,10,5,7.5,7.6,9,10,3,9.4,7.6,9,10,4,5.1,8.8,9,10,2
20240030,P007,60,8.0,4.6,3,10,16,7.2,8.7,2,10,10,5.5,7.3,6,10,17,5.2,7.4,5,10,14
20240031,P007,60,7.6,6.5,8,10,2,4.5,9.7,8,10,0,3.7,10,10,10,4,6.8,6.0,8,10,3
20240032,P007,60,5.8,5.5,9,10,10,5.1,6.1,6,10,11,7.9,9.7,7,10,8,10.0,9.4,6,10,6
20240033,P007,60,5.6,5.6,5,10,9,7.4,5.2,6,10,17,8.1,8.0,6,10,14,5.2,6.0,6,10,18
20240034,P007,60,7.8,8.7,10,10,3,9.6,9.7,8,10,3,8.5,9.4,8,10,1,5.5,6.5,10,10,2
20240035,P007,60,1.5,7.4,9,10,5,6.3,1.9,10,10,1,7.1,1.1,9,10,1,6.7,10.0,10,10,2
20240036,P007,60,6.5,4.5,3,10,12,6.4,4.5,7,10,11,8.8,5.3,5,10,17,0.1,2.3,2,10,17
20240037,P007,60,4.1,5.7,6,10,6,8.0,7.4,7,10,9,5.9,3.3,8,10,8,9.3,6.9,8,10,7
20240038,P007,60,2.6,4.6,6,10,20,6.7,5.3,4,10,9,2.9,4.4,2,10,17,4.8,8.1,3,10,16
20240039,P007,60,6.8,5.5,6,10,17,8.6,8.2,6,10,13,5.0,4.5,3,10,20,3.0,5.8,5,10,19
20240040,P007,60,6.9,2.2,4,10,14,8.7,4.1,5,10,20,6.1,4.0,5,10,8,6.1,8.7,5,10,10
20240041,P007,60,8.0,9.4,7,10,11,7.2,7.4,7,10,11,5.0,8.8,6,10,9,7.3,6.7,8,10,10
20240042,P007,60,4.6,5.2,7,10,15,0.2,7.1,4,10,14,7.9,7.3,2,10,20,5.5,6.7,2,10,13
