id_aluno,id_professor,aulas_bimestre,nota_p1_b1,nota_p2_b1,ativs_entregues_b1,ativs_total_b1,faltas_b1,nota_p1_b2,nota_p2_b2,ativs_entregues_b2,ativs_total_b2,faltas_b2,nota_p1_b3,nota_p2_b3,ativs_entregues_b3,ativs_total_b3,faltas_b3,nota_p1_b4,nota_p2_b4,ativs_entregues_b4,ativs_total_b4,faltas_b4
20240001,P004,60,8.3,6.7,3,10,15,3.7,7.8,6,10,15,7.9,2.2,6,10,9,4.5,5.5,6,10,14
20240002,P004,60,6.2,7.4,3,10,18,9.0,7.6,3,10,19,5.0,5.4,3,10,11,4.7,8.3,4,10,19
20240003,P004,60,8.0,3.8,2,10,18,1.6,5.8,4,10,10,5.6,3.2,7,10,17,7.2,4.6,3,10,15
20240004,P004,60,2.7,6.4,7,10,10,0.9,7.6,7,10,10,5.0,7.3,3,10,10,3.3,6.1,6,10,17
20240005,P004,60,8.0,9.4,8,10,2,4.3,4.6,10,10,0,10,4.8,8,10,4,8.0,0.9,10,10,2
20240006,P004,60,7.0,8.1,2,10,19,8.1,7.0,4,10,16,7.4,5.8,7,10,11,8.6,3.8,4,10,17
20240007,P004,60,4.8,9.8,10,10,5,10,10,9,10,4,7.7,10,8,10,3,5.5,6.5,8,10,0
20240008,P004,60,8.1,8.7,8,10,1,10,8.3,10,10,2,7.0,9.1,9,10,2,2.4,9.8,8,10,2
20240009,P004,60,7.1,8.8,7,10,8,5.0,9.1,9,10,9,9.6,6.0,5,10,5,5.0,3.5,6,10,9
20240010,P004,60,4.7,5.3,6,10,4,6.9,8.5,9,10,9,6.1,7.8,9,10,12,5.1,6.8,5,10,6
20240011,P004,60,7.9,4.8,7,10,13,7.2,7.6,3,10,18,8.9,9.1,7,10,9,6.5,3.6,4,10,18
20240012,P004,60,4.4,4.4,9,10,3,6.4,9.1,8,10,0,5.9,6.9,9,10,3,7.3,6.5,9,10,1
20240013,P004,60,6.5,5.0,7,10,13,4.6,6.9,5,10,10,4.6,7.1,4,10,11,5.7,7.6,6,10,10
20240014,P004,60,6.8,8.1,10,10,4,9.5,9.0,9,10,5,8.3,9.5,9,10,1,9.2,8.7,10,10,4
20240015,P004,60,9.8,10,9,10,4,10,7.5,8,10,1,2.0,7.6,10,10,4,9.7,10,8,10,1
20240016,P004,60,9.1,3.7,2,10,20,4.8,8.1,4,10,14,6.1,4.1,4,10,12,7.5,4.4,2,10,8
20240017,P004,60,8.9,4.2,9,10,3,7.3,5.5,10,10,0,10,4.7,9,10,5,8.1,8.4,10,10,4
20240018,P004,60,9.3,4.7,6,10,5,0.7,5.6,8,10,7,5.2,6.3,8,10,12,6.4,7.8,5,10,11
20240019,P004,60,10,9.5,9,10,2,9.5,5.8,9,10,3,9.9,8.3,8,10,0,7.3,10,9,10,4
