id_aluno,id_professor,aulas_bimestre,nota_p1_b1,nota_p2_b1,ativs_entregues_b1,ativs_total_b1,faltas_b1,nota_p1_b2,nota_p2_b2,ativs_entregues_b2,ativs_total_b2,faltas_b2,nota_p1_b3,nota_p2_b3,ativs_entregues_b3,ativs_total_b3,faltas_b3,nota_p1_b4,nota_p2_b4,ativs_entregues_b4,ativs_total_b4,faltas_b4
20240001,P001,60,4.2,4.2,4,10,8,1.4,7.5,5,10,11,4.5,8.3,5,10,16,7.1,8.5,2,10,14
20240002,P001,60,4.3,3.6,8,10,8,8.5,5.5,6,10,4,4.5,3.2,8,10,10,5.2,6.5,7,10,10
20240003,P001,60,9.1,7.6,5,10,12,6.7,4.4,8,10,8,6.4,7.0,8,10,3,9.6,7.2,6,10,4
20240004,P001,60,5.5,6.6,8,10,5,8.1,8.4,8,10,3,6.1,7.8,9,10,4,8.5,2.7,9,10,1
20240005,P001,60,9.8,8.4,9,10,4,5.0,4.4,10,10,5,10,8.7,10,10,4,6.0,3.1,8,10,2
20240006,P001,60,5.0,6.8,4,10,11,5.2,7.4,5,10,20,5.6,6.1,4,10,19,7.9,7.8,5,10,11
20240007,P001,60,3.1,4.2,9,10,3,5.7,8.6,6,10,8,9.8,5.0,6,10,12,8.7,10.0,8,10,8
20240008,P001,60,5.6,9.7,8,10,9,7.3,9.7,7,10,12,6.2,3.6,6,10,7,3.0,8.1,5,10,12
20240009,P001,60,7.2,9.3,10,10,2,5.2,7.6,10,10,5,8.9,1.5,10,10,0,2.6,9.9,9,10,3
20240010,P001,60,4.0,9.7,6,10,6,6.6,0.1,5,10,7,3.3,6.5,5,10,11,7.0,9.7,6,10,9
20240011,P001,60,5.1,6.9,9,10,9,8.5,5.6,5,10,6,1.7,7.3,5,10,8,5.6,8.2,5,10,6
20240012,P001,60,4.4,5.6,10,10,3,7.2,6.4,9,10,0,6.2,9.3,8,10,0,9.3,7.1,10,10,3
20240013,P001,60,6.7,6.8,7,10,10,4.8,8.0,9,10,11,8.2,4.5,6,10,5,9.8,3.8,6,10,9
20240014,P001,60,7.3,6.2,6,10,14,4.3,4.6,6,10,17,4.7,4.0,2,10,9,6.4,5.2,7,10,14
20240015,P001,60,7.1,5.3,8,10,12,2.7,5.5,7,10,10,9.0,7.6,8,10,7,9.7,9.2,8,10,7
20240016,P001,60,5.6,5.8,7,10,14,4.7,4.5,6,10,19,5.9,4.7,2,10,11,5.1,8.4,5,10,16
20240017,P001,60,3.1,6.2,8,10,5,7.7,4.8,7,10,4,0.1,9.8,6,10,6,8.4,5.8,5,10,3
20240018,P001,60,3.3,7.4,7,10,12,8.4,6.8,8,10,8,5.9,8.6,9,10,9,4.0,8.7,9,10,8
20240019,P001,60,7.6,3.1,7,10,7,9.3,8.8,6,10,7,4.5,9.8,8,10,12,8.4,8.3,7,10,7
20240020,P001,60,5.2,8.2,3,10,19,7.4,6.1,7,10,10,8.4,2.0,3,10,20,9.2,6.0,4,10,14
20240021,P001,60,7.9,3.1,9,10,12,9.1,9.5,9,10,9,5.1,9.1,7,10,6,6.1,9.5,6,10,8
20240022,P001,60,5.8,3.5,3,10,20,6.7,7.7,5,10,14,4.8,0.1,6,10,13,3.2,6.7,2,10,10
20240023,P001,60,7.3,7.6,8,10,7,8.2,6.8,7,10,5,9.5,7.3,5,10,9,6.5,4.5,9,10,12
20240024,P001,60,7.1,3.6,10,10,0,10,7.9,8,10,3,7.0,5.2,8,10,5,8.8,7.9,10,10,5
20240025,P001,60,4.0,4.4,9,10,1,8.3,2.9,8,10,2,3.2,10,10,10,0,5.4,10,9,10,2
20240026,P001,60,9.9,10,8,10,0,10,1.2,10,10,3,7.1,6.6,9,10,3,9.8,6.5,10,10,1
20240027,P001,60,8.8,3.7,3,10,15,7.2,7.5,5,10,10,8.3,4.3,7,10,19,5.0,6.0,6,10,16
20240028,P001,60,7.9,8.0,6,10,9,8.1,9.1,9,10,5,8.7,9.1,7,10,10,6.9,3.4,8,10,9
20240029,P001,60,2.9,6.4,7,10,15,6.7,5.5,6,10,17,7.8,7.5,3,10,8,6.5,7.3,2,10,15
20240030,P001,60,8.3,7.3,10,10,2,6.0,7.5,10,10,2,4.5,9.9,8,10,2,7.7,9.7,10,10,3
20240031,P001,60,6.9,2.2,8,10,11,8.0,6.8,9,10,5,4.6,4.3,7,10,12,5.8,9.9,7,10,6
20240032,P001,60,5.6,7.3,9,10,12,6.4,9.7,6,10,11,6.2,5.7,6,10,5,6.4,5.2,9,10,8
20240033,P001,60,8.3,6.5,7,10,11,9.4,0.3,6,10,9,3.1,6.6,7,10,7,3.1,7.4,5,10,11
20240034,P001,60,6.2,8.1,9,10,6,6.0,8.4,8,10,3,6.9,9.3,5,10,11,0.8,8.6,6,10,10
20240035,P001,60,7.2,6.8,4,10,11,5.8,4.3,5,10,8,5.0,3.7,2,10,10,2.5,3.7,6,10,15
20240036,P001,60,4.4,6.9,5,10,11,7.3,5.8,6,10,8,9.7,5.6,9,10,12,6.1,8.3,7,10,4
20240037,P001,60,9.6,8.9,8,10,8,9.9,6.1,5,10,7,9.8,6.6,8,10,10,2.7,4.0,6,10,4
20240038,P001,60,7.0,6.7,5,10,18,6.2,7.9,7,10,9,6.4,6.4,6,10,12,3.6,8.5,2,10,13
20240039,P001,60,3.0,7.1,5,10,12,7.1,9.1,9,10,7,4.5,5.8,8,10,3,3.4,8.6,7,10,11
20240040,P001,60,3.2,8.9,6,10,8,8.2,0.7,4,10,9,5.1,6.0,3,10,10,3.0,4.1,6,10,8
20240041,P001,60,5.6,3.2,8,10,12,9.4,7.5,9,10,7,3.4,5.7,9,10,7,4.1,8.9,5,10,5
20240042,P001,60,8.4,7.6,6,10,8,7.7,5.9,8,10,7,7.4,8.7,9,10,5,4.5,8.5,9,10,3
20240043,P001,60,8.2,7.4,9,10,3,6.8,6.3,7,10,5,6.8,8.7,8,10,5,5.2,5.0,9,10,6
20240044,P001,60,7.3,4.1,6,10,12,8.0,5.4,6,10,10,3.7,0.6,8,10,8,5.9,2.9,5,10,8
20240045,P001,60,5.7,6.8,5,10,18,5.4,6.6,5,10,16,5.6,5.0,5,10,10,2.5,6.5,2,10,19
20240046,P001,60,5.7,4.4,6,10,10,8.3,5.5,9,10,5,7.3,6.8,5,10,5,4.8,5.8,5,10,12
20240047,P001,60,7.5,8.2,3,10,15,4.5,3.1,4,10,16,3.8,8.7,2,10,10,0.3,8.6,5,10,10
20240048,P001,60,8.2,5.3,6,10,17,7.8,7.4,7,10,8,4.6,7.5,7,10,19,6.5,5.9,6,10,17
20240049,P001,60,4.4,8.2,9,10,4,2.0,7.6,5,10,8,4.3,6.7,9,10,9,5.6,8.5,9,10,9
20240050,P001,60,4.9,6.7,5,10,19,7.8,7.3,2,10,10,4.6,4.9,5,10,10,7.6,2.4,4,10,9
20240051,P001,60,4.2,8.0,10,10,5,5.0,5.4,9,10,4,5.7,7.6,8,10,2,9.9,4.8,10,10,3
20240052,P001,60,3.3,10,9,10,4,7.6,7.8,9,10,0,4.8,8.6,9,10,4,10,9.5,9,10,1
20240053,P001,60,5.3,6.5,3,10,18,6.5,6.4,3,10,12,4.7,7.0,4,10,13,4.7,3.8,3,10,19
20240054,P001,60,6.8,7.6,8,10,0,10,9.2,9,10,0,6.7,10,10,10,1,6.7,8.1,8,10,4
20240055,P001,60,6.4,5.0,8,10,11,5.0,7.8,7,10,4,6.7,3.5,8,10,7,9.3,3.8,7,10,9
20240056,P001,60,5.9,9.0,5,10,6,8.6,8.7,6,10,6,8.5,5.0,8,10,9,4.8,8.1,8,10,8
20240057,P001,60,8.1,6.4,6,10,3,8.0,7.9,7,10,8,6.1,9.3,8,10,3,4.7,9.2,9,10,12
20240058,P001,60,8.9,9.4,10,10,3,7.6,4.1,10,10,5,9.4,4.1,10,10,2,7.7,6.8,10,10,4
20240059,P001,60,4.2,0.8,7,10,19,1.9,2.1,5,10,8,6.4,2.8,4,10,14,5.5,4.6,7,10,8
20240060,P001,60,9.9,6.7,9,10,7,6.9,7.4,8,10,12,8.3,8.0,7,10,11,9.5,5.2,7,10,7
20240061,P001,60,3.0,6.5,7,10,5,6.1,8.0,7,10,10,1.3,5.5,9,10,3,5.8,7.8,8,10,5
20240062,P001,60,3.9,6.9,7,10,19,5.6,4.9,4,10,10,2.9,5.6,2,10,10,8.4,8.4,3,10,8
20240063,P001,60,1.7,7.5,8,10,5,8.0,9.7,8,10,3,5.3,10.0,9,10,1,8.9,8.4,10,10,4
20240064,P001,60,5.3,5.1,6,10,16,3.4,4.5,3,10,9,7.0,2.3,2,10,8,7.1,6.6,2,10,15
20240065,P001,60,6.9,7.1,6,10,8,8.6,3.5,7,10,11,7.9,4.4,6,10,8,5.1,8.1,8,10,11
20240066,P001,60,5.0,9.0,8,10,4,4.2,6.0,10,10,5,6.7,3.3,8,10,5,9.1,7.1,9,10,4
20240067,P001,60,7.2,5.1,6,10,5,9.2,5.2,8,10,12,8.1,7.5,6,10,8,7.1,9.2,5,10,10
20240068,P001,60,7.7,8.8,5,10,8,7.5,0.2,5,10,7,10.0,4.5,8,10,11,4.1,6.3,9,10,5
20240069,P001,60,4.2,6.5,3,10,9,7.1,5.2,4,10,13,7.9,6.5,6,10,13,4.9,5.2,5,10,15
20240070,P001,60,0,3.6,4,10,8,7.8,5.2,6,10,16,8.0,2.5,6,10,13,4.4,5.4,7,10,9
20240071,P001,60,6.0,9.7,9,10,4,7.1,7.8,7,10,3,6.6,6.7,9,10,6,9.6,7.1,5,10,11
20240072,P001,60,7.7,7.3,8,10,9,8.2,3.9,6,10,9,3.2,7.1,7,10,9,4.0,7.3,8,10,5
20240073,P001,60,6.3,4.2,6,10,11,5.5,6.4,5,10,12,3.8,5.4,9,10,8,8.5,3.7,9,10,10
20240074,P001,60,3.8,5.1,10,10,0,6.2,10,8,10,5,6.6,7.5,10,10,2,7.0,5.5,10,10,5
20240075,P001,60,4.2,9.4,8,10,0,6.9,10,9,10,5,6.6,10,8,10,4,4.5,7.6,9,10,4
20240076,P001,60,5.3,5.7,6,10,7,10.0,5.1,8,10,7,9.8,1.7,6,10,7,4.8,7.2,9,10,9
20240077,P001,60,7.6,4.0,4,10,17,4.1,7.5,4,10,10,7.4,8.1,6,10,18,8.7,8.1,7,10,10
20240078,P001,60,8.1,10,10,10,5,7.9,4.5,10,10,2,8.4,7.6,8,10,3,7.6,8.7,8,10,1
20240079,P001,60,3.2,2.0,8,10,1,5.9,10,8,10,3,7.8,9.5,10,10,5,9.1,10,8,10,0
20240080,P001,60,6.5,8.0,6,10,3,5.8,6.7,6,10,10,6.2,4.0,8,10,5,7.9,7.2,9,10,12
20240081,P001,60,7.1,4.9,8,10,3,7.6,10,10,10,0,7.0,6.8,9,10,1,8.5,5.1,8,10,1
20240082,P001,60,8.7,7.6,8,10,0,10.0,8.0,10,10,0,10,8.6,8,10,4,7.4,8.6,8,10,1
20240083,P001,60,2.6,8.7,7,10,7,9.0,5.4,9,10,7,8.4,8.1,9,10,10,5.1,7.6,5,10,9
20240084,P001,60,5.7,4.4,6,10,14,3.9,3.1,5,10,9,7.3,7.1,6,10,12,7.2,8.4,5,10,15
20240085,P001,60,8.6,4.4,2,10,20,6.9,7.0,7,10,20,5.7,6.7,4,10,16,6.1,4.3,3,10,10
20240086,P001,60,6.3,9.8,8,10,5,3.9,9.9,8,10,10,9.1,6.1,9,10,8,5.4,8.6,5,10,8
20240087,P001,60,3.8,8.5,3,10,14,7.9,7.9,2,10,14,4.8,6.1,4,10,9,8.1,8.4,3,10,16
20240088,P001,60,10,8.0,10,10,4,10,1.8,8,10,2,8.7,4.9,10,10,5,7.0,7.5,10,10,2
20240089,P001,60,5.2,3.5,9,10,3,7.2,6.1,6,10,7,9.8,7.3,9,10,7,9.5,3.1,5,10,3
20240090,P001,60,3.8,8.8,9,10,10,5.7,4.5,5,10,11,9.8,5.3,5,10,10,6.4,7.9,6,10,6
20240091,P001,60,10,6.2,9,10,2,6.4,4.8,10,10,2,8.6,7.5,9,10,0,6.8,7.7,8,10,3
20240092,P001,60,8.2,7.9,9,10,8,7.3,8.5,8,10,12,4.2,5.2,6,10,10,5.8,8.4,8,10,12
